Date,Open,High,Low,Close,Volume,Adj Close
2016-09-09,50.740002,50.880001,50.150002,50.209999,5839100,50.209999
2016-09-08,51.349998,51.790001,50.93,51.040001,4862800,51.040001
2016-09-07,51.110001,51.450001,50.669998,51.290001,5737800,51.290001
2016-09-06,51.259998,51.799999,51.040001,51.330002,7258800,51.330002
2016-09-02,51.939999,51.939999,50.68,51.220001,5682200,51.220001
2016-09-01,50.18,51.209999,50.150002,50.900002,7272800,50.900002
2016-08-31,50.619999,50.619999,50.169998,50.389999,6549900,50.389999
2016-08-30,50.599998,50.950001,50.380001,50.560001,5867300,50.560001
2016-08-29,51.389999,51.490002,50.419998,50.75,6221100,50.75
2016-08-26,51.349998,51.98,51.139999,51.549999,5395800,51.549999
2016-08-25,51.43,52.290001,51.110001,51.200001,10660400,51.200001
2016-08-24,53.529999,53.959999,49.869999,51.630001,16140800,51.630001
2016-08-23,53.450001,53.84,53.110001,53.200001,3437300,53.200001
2016-08-22,53.130001,53.779999,53.07,53.48,3440100,53.48
2016-08-19,53.32,53.59,52.869999,52.990002,3548100,52.990002
2016-08-18,53.290001,53.639999,52.790001,53.049999,4665600,53.049999
2016-08-17,53.599998,53.82,52.650002,53.080002,6645100,52.740002
2016-08-16,54.439999,54.830002,53.630001,53.790001,8075600,53.445454
2016-08-15,54.259998,55.389999,53.889999,54.540001,8082400,54.19065
2016-08-12,53.130001,54.040001,53.009998,53.860001,6969700,53.515005
2016-08-11,53.02,53.52,52.84,53.419998,5859800,53.077821
2016-08-10,53.209999,53.48,52.150002,52.610001,7133300,52.273012
2016-08-09,53.580002,54.16,53.330002,53.450001,5577900,53.107631
2016-08-08,54.02,54.23,52.93,53.25,7829900,52.908912
2016-08-05,55.200001,55.450001,54.040001,54.209999,6582300,53.862762
2016-08-04,53.68,55.790001,53.509998,55.450001,9027300,55.094821
2016-08-03,52.639999,53.889999,52.540001,53.57,5024400,53.226862
2016-08-02,53.389999,53.580002,52.900002,52.959999,5447500,52.620768
2016-08-01,53.470001,54.029999,53.43,53.610001,4277400,53.266606
2016-07-29,54.790001,54.830002,53.330002,53.50,6096500,53.15731
2016-07-28,55.16,55.48,54.580002,54.790001,8364900,54.439048
2016-07-27,54.490002,55.23,54.279999,55.16,5211100,54.806677
2016-07-26,54.259998,54.709999,54.029999,54.310001,4424100,53.962123
2016-07-25,54.50,54.759998,54.029999,54.330002,2725800,53.981996
2016-07-22,54.77,54.959999,54.34,54.73,3479700,54.379431
