Date,Open,High,Low,Close,Volume,Adj Close
2016-07-22,38.459999,39.00,38.380001,38.900002,2600300,38.900002
2016-07-21,38.23,38.709999,38.09,38.549999,3169100,38.549999
2016-07-20,38.080002,38.34,37.849998,38.34,3472600,38.34
2016-07-19,37.50,38.169998,37.330002,38.130001,2919100,38.130001
2016-07-18,37.470001,37.599998,37.169998,37.369999,2799500,37.369999
2016-07-15,36.970001,37.50,36.779999,37.43,3757200,37.43
2016-07-14,37.279999,37.34,36.66,36.950001,2530200,36.950001
2016-07-13,37.139999,37.43,36.630001,37.43,3416800,37.43
2016-07-12,36.59,37.299999,36.439999,37.029999,5675500,37.029999
2016-07-11,36.00,36.66,35.790001,36.540001,4078600,36.540001
2016-07-08,35.380001,35.939999,34.990002,35.939999,4030100,35.939999
2016-07-07,35.419998,35.50,34.560001,34.880001,3554000,34.880001
2016-07-06,35.619999,35.77,35.119999,35.529999,2768500,35.529999
2016-07-05,35.299999,35.740002,35.209999,35.73,3400000,35.73
2016-07-01,35.48,35.849998,35.259998,35.32,2349400,35.32
2016-06-30,35.459999,35.580002,34.830002,35.380001,3531200,35.380001
2016-06-29,35.040001,35.619999,34.98,35.369999,3731100,35.369999
2016-06-28,34.43,34.98,34.209999,34.970001,4899100,34.970001
2016-06-27,34.07,34.32,33.599998,34.18,4660700,34.18
2016-06-24,33.540001,34.98,33.419998,34.23,5904700,34.23
